"","restaurants","bars","cafe","college","casino","nightclub","pharmacy","theatre","university","antiques","art","bakery","tattoo","cinema","library","marketplace","railway_station","subway","hotels","volume"
"1577",66,0,30,0,0,0,14,0,0,0,0,2,0,0,0,0,1,0,9,"Normal"
"1578",74,5,36,0,0,0,1,9,0,0,0,0,0,0,1,0,14,0,7,"Normal"
"1579",10,1,7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,"Normal"
"1580",71,0,23,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,29,"Normal"
"1581",1214,146,582,60,1,26,27,123,742,17,94,51,28,21,0,0,2,94,495,"Massive"
"1582",257,26,124,0,1,16,6,0,0,31,191,6,0,2,0,0,2,191,300,"Very High"
"1583",16,8,31,54,0,0,0,0,0,0,0,0,0,1,10,0,2,0,0,"Normal"
"1584",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Normal"
"1585",172,15,160,0,0,0,37,0,0,0,1,8,0,0,0,0,39,1,584,"Very High"
"1586",3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,33,"Normal"
"1587",100,1,24,0,0,0,14,0,0,5,18,7,0,18,6,2,1,18,27,"Normal"
"1588",77,13,15,0,0,0,3,0,84,0,0,1,0,5,18,1,1,0,115,"High"
"1589",275,32,132,1,2,1,25,0,0,28,63,6,0,0,0,0,2,63,373,"Very High"
"1590",38,0,45,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,"Normal"
"1591",151,12,144,0,0,0,17,0,0,0,1,8,0,0,0,0,39,1,608,"Very High"
"1592",101,13,8,0,0,0,4,0,0,0,0,0,0,22,6,1,1,0,118,"Normal"
"1593",167,13,166,0,2,0,35,0,0,0,18,16,0,0,0,0,39,18,515,"Very High"
"1594",43,7,32,1,0,0,4,0,0,0,0,1,0,1,27,0,72,0,0,"Normal"
"1595",926,93,363,60,1,1,17,417,193,13,38,25,5,14,0,17,3,38,387,"Massive"
"1596",13,1,17,0,0,1,0,142,146,0,0,0,0,1,13,0,0,0,34,"High"
"1597",110,25,92,0,0,1,1,12,0,0,0,6,0,0,0,0,152,0,71,"High"
"1598",1159,166,561,42,1,37,59,130,769,0,79,55,24,21,0,0,3,79,354,"Massive"
"1599",51,3,18,0,0,0,4,0,0,0,10,1,0,0,0,0,2,10,197,"Normal"
"1600",193,13,84,0,1,1,21,1,0,25,13,10,0,0,0,1,3,13,42,"High"
"1601",238,19,102,0,0,1,6,163,1,1,0,22,0,11,6,0,3,0,166,"High"
"1602",74,14,50,14,0,0,13,0,0,1,0,3,0,1,0,0,2,0,227,"High"
"1603",705,73,267,21,0,2,14,414,145,9,14,28,1,0,0,17,5,14,237,"Very High"
"1604",658,99,400,95,1,12,27,241,911,17,55,7,0,0,0,0,2,55,430,"Massive"
"1605",155,3,77,0,0,0,28,0,0,1,1,7,0,0,2,28,2,1,346,"High"
"1606",165,12,176,14,0,17,23,24,548,0,3,0,1,0,38,0,66,3,200,"Very High"
"1607",104,14,9,6,0,1,5,0,0,0,0,7,0,0,1,0,2,0,229,"High"
"1608",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Normal"
